"Maps:IO.SFac:Rep:IO.FBuf:Comp:Blk.size","Variance","Benchmarks","Missing"
"12:  5:3: 32768:None:256",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3: 32768:None: 32",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3: 32768:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:  4096:None:128",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:  4096:None:256",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:  4096:None: 32",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:  4096:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24:100:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24:100:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24:100:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1:  1024:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1:131072:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1: 16384:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1:262144:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1: 32768:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 10:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24:  1:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 25:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24: 50:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"24:  5:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"32: 10:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
