"Config","Variance","Benchmarks","Missing"
"IB:HDD:12: 20:1: 65536:None: 64:Local 1",2924206.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 20:3: 32768:None:128:Local 1",2914180.56666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:2: 65536:None: 64:Local 1",2900308.3,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 65536:None:256:Local 1",2875315.06666667,10,""
"ETH:HDD:12:  5:3: 65536:None: 64:Local 1",2822943.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 20:1: 32768:None: 64:Local 1",2798598.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:24: 10:3: 65536:None: 64:Local 1",2782922.56666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 32768:None:128:Local 1",2744560.26666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:24: 10:3: 65536:ZLIB: 64:Local 1",2714513.2,5,"bayes,dfsioe_write,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:16: 10:1: 65536:ZLIB: 64:Local 1",2693652.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:16: 10:1: 65536:ZLIB: 64:Local 1",2681594.16666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 10:1: 65536:Snappy:  0:Local 1",2655257.33333333,3,"bayes,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:2: 65536:ZLIB: 64:Local 1",2606247.6,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:24: 10:3: 65536:None: 64:Local 1",2579140.56666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:3:131072:None:128:Local 1",2578315.8,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 20:3:131072:None:128:Local 1",2543448.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 20:3:131072:None: 64:Local 1",2470561.36666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3:131072:None:256:Local 1",2455389,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12:  5:1: 65536:None: 64:Local 1",2446589.36666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 65536:None:  0:Local 1",2410739.16666667,10,""
"IB:HDD:12: 20:1: 32768:None:128:Local 1",2376156.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:1: 65536:None:  0:Local 1",2362741.83928571,8,"hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1: 65536:None:256:Local 1",2359369.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 20:3:131072:None:256:Local 1",2283194.7,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:1: 65536:BZIP2:  0:Local 1",2253834.33333333,3,"bayes,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:1: 65536:None: 32:Local 1",2235111.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 32768:None: 64:Local 1",2197236.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 65536:ZLIB: 64:Local 1",2185955.42857143,8,"hivebench_agregation,hivebench_join"
"IB:HDD:16: 10:2: 65536:None: 64:Local 1",2182563.86666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 50:1: 32768:None: 64:Local 1",2131494.7,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3:131072:None: 64:Local 1",2038399.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:3:131072:None: 32:Local 1",1999678.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12:  5:1: 65536:None: 32:Local 1",1998985.36666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:ZLIB:256:Azure L",1988653.46666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:Snappy: 64:Azure L",1981423.06666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:3: 65536:None:128:Azure L",1965886.26666667,6,"bayes,hivebench_agregation,hivebench_join,kmeans"
