"Config","Variance","Benchmarks","Missing"
"ETH:SSD:24: 10:3: 65536:None: 64:Local 1",621174.666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:24: 10:3: 65536:ZLIB: 64:Local 1",605514.166666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 10:3: 65536:ZLIB: 64:Local 1",545671.466666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:16: 10:3: 65536:None: 64:Local 1",527849.366666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:3:  4096:None: 32:Local 1",500663.8,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 10:3: 65536:None: 64:Local 1",468009.333333333,7,"dfsioe_read,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:BZIP2:256:Local 1",312641.238095238,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 20:1:131072:None:128:Local 1",312484.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 50:3:  4096:None:256:Local 1",297474.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:ZLIB: 64:Local 1",292242.857142857,8,"hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:Snappy: 32:Local 1",289558.476190476,7,"hivebench_agregation,hivebench_join,terasort"
"IB:SSD:12: 10:1: 65536:ZLIB:256:Local 1",288088.333333333,7,"hivebench_agregation,hivebench_join,terasort"
"IB:SSD:12: 10:1: 65536:ZLIB: 32:Local 1",287889.80952381,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 50:3:131072:None:128:Local 1",284226.7,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans"
"IB:SSD:12: 10:1: 65536:ZLIB:128:Local 1",282942.952380952,7,"hivebench_agregation,hivebench_join,terasort"
"IB:SSD:12: 10:1: 65536:BZIP2: 32:Local 1",282281.238095238,7,"hivebench_agregation,hivebench_join,terasort"
"IB:SSD:12: 10:1: 65536:None: 32:Local 1",279497.344444444,10,""
"ETH:SSD:12: 50:3: 65536:None:128:Local 1",276065.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:Snappy:  0:Local 1",275114.916666667,4,"bayes,hivebench_agregation,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:1:  4096:None: 32:Local 1",271600.7,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 50:3:  4096:None:128:Local 1",270596.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3: 32768:None: 32:Local 1",266280.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:BZIP2:128:Local 1",261111.476190476,7,"hivebench_agregation,hivebench_join,terasort"
"IB:SSD:12: 10:1: 65536:Snappy: 64:Local 1",260799.142857143,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 20:3: 32768:None:256:Local 1",259274.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:None: 64:Local 1",259039.066666667,10,""
"ETH:SSD:12: 20:3: 65536:None: 32:Local 1",254477.6,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3: 65536:None:256:Local 1",254322.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:BZIP2: 64:Local 1",251685.476190476,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 20:3:  4096:None:256:Local 1",251652.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:  4096:None: 32:Local 1",251455.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3:131072:None:256:Local 1",248947.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:3: 65536:None: 32:Local 1",248484.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:131072:None:256:Local 1",244590.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3: 65536:None:256:Local 1",241638.166666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3:  4096:None: 32:Local 1",241375.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:3: 65536:None:256:Local 1",239893.866666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:  4096:None:128:Local 1",238451.6,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3: 65536:None: 32:Local 1",236994.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3: 32768:None: 32:Local 1",235999.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:None:128:Local 1",235253.433333333,10,""
"IB:SSD:24: 10:1: 65536:None: 64:Local 1",234726.785714286,8,"hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:131072:None: 32:Local 1",232269.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:None:  0:Local 1",229540.677777778,10,""
"ETH:SSD:12: 20:3: 65536:None:128:Local 1",227089.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:131072:None:128:Local 1",227027.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:3: 65536:None:128:Local 1",225696.166666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:None:256:Local 1",221524.622222222,10,""
"ETH:SSD:12: 20:3: 32768:None:128:Local 1",219434.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3: 65536:None: 64:Local 1",213843.866666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3:  4096:None: 64:Local 1",213478.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:3:  4096:None: 64:Local 1",211232.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3:  4096:None: 64:Local 1",209051.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 20:3: 32768:None: 64:Local 1",206901.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:16: 10:2: 65536:None: 64:Local 1",205803.2,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 50:3: 65536:None: 64:Local 1",203610.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 50:3:131072:None: 64:Local 1",202105.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:SSD:24: 10:1:  4096:None:  0:Local 1",199478.011111111,10,""
"ETH:SSD:24: 10:2: 65536:ZLIB: 64:Local 1",195313.366666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:16: 10:2: 65536:ZLIB: 64:Local 1",191232.7,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:24: 10:2: 65536:None: 64:Local 1",191084.566666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:12: 10:1: 65536:BZIP2:  0:Local 1",184584.916666667,4,"bayes,hivebench_agregation,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:3:131072:None: 64:Local 1",179250,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,wordcount"
"ETH:RL2: 8: 10:2: 65536:None: 64:Azure L",175742.333333333,3,"bayes,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24: 10:1: 65536:None: 64:Local 1",158950.666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:16: 10:1: 65536:ZLIB: 64:Local 1",141566.566666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:16: 10:1: 65536:None: 64:Local 1",131925.766666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 10:1: 65536:ZLIB: 64:Local 1",130885.9,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:24: 10:1: 65536:ZLIB: 64:Local 1",130606.7,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:1: 65536:None: 64:Local 1",124213.366666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 10:2: 65536:None: 64:Local 1",93218.7,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:12: 10:1: 65536:Snappy:128:Local 1",91442.3333333333,3,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank,terasort"
"IB:SSD:12: 10:2: 65536:ZLIB: 64:Local 1",88728.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:1: 65536:ZLIB: 64:Local 1",87336.1666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:12: 10:2: 65536:None: 64:Local 1",77614.2,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 50:3: 32768:None:128:Local 1",72897.3333333333,3,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank,sort"
"ETH:SSD:12: 10:2: 65536:ZLIB: 64:Local 1",65673.4666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:12: 10:3: 65536:ZLIB: 64:Local 1",64837.4666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:12: 10:3: 65536:None: 64:Local 1",64397.8,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:2: 65536:None: 64:Local 1",62979.4666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:24: 10:1: 65536:ZLIB: 64:Local 1",54653.9,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:2: 65536:ZLIB: 64:Local 1",50383.0666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL2:10: 10:2: 65536:None: 64:Azure L",47826.3,5,"bayes,hivebench_agregation,hivebench_join,sort,wordcount"
"IB:SSD:24: 10:3: 65536:ZLIB: 64:Local 1",47367.3666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:24: 10:2: 65536:ZLIB: 64:Local 1",38652.3,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL2: 8: 10:2: 65536:None:128:Azure L",32768,2,"bayes,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:2: 65536:None: 64:Local 1",31655.8666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:24: 10:3: 65536:None: 64:Local 1",31158.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:3: 65536:ZLIB: 64:Local 1",21952,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:SSD:16: 10:3: 65536:None: 64:Local 1",13085.2,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 10:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 20:3: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 50:3: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 50:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 50:3: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12: 50:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:12:  5:1: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:24:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:24: 10:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:24:  1:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:24: 25:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD:24:  5:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:HDD: 8: 10:1: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:1: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:1: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:1: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:1: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:2: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:2: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:2: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:2: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:3: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:3: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:3: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R1: 8: 10:3: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:1: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:1: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:1: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:1: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:2: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:2: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:2: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:2: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:3: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:3: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:3: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R2: 8: 10:3: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:1: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:1: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:1: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:1: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:2: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:2: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:2: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:2: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:3: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:3: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:3: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:R3: 8: 10:3: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2:10: 10:1: 65536:Snappy:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2:10: 10:2: 65536:None: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:BZIP2:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:BZIP2:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:BZIP2: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:None:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:None: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:Snappy:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:Snappy:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:Snappy: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:ZLIB:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:ZLIB:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL2: 8: 10:2: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
