"","ID","Benchmark","Exe Time","Exec Conf","Running Cost $","Net","Disk","Maps","IO SFac","Rep","IO FBuf","Comp","Blk size","Cluster","Histogram","PARAVER","End time"
"5014","5014","pagerank","2298","20150104_052246_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-15","20150104_052246_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/pagerank","5014","20150104061941"
"5012","5012","dfsioe_read","3730","20150104_041213_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z128_S8_al-14/dfsioe_read","2.76","ETH","RL2","6","10","2","65536","BZIP2","128","al-14","20150104_041213_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z128_S8_al-14/dfsioe_read","5012","20150104054948"
"5010","5010","pagerank","2701","20150104_030526_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z128_S8_al-14/pagerank","2.00","ETH","RL2","6","10","2","65536","BZIP2","128","al-14","20150104_030526_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z128_S8_al-14/pagerank","5010","20150104040811"
"5008","5008","kmeans","2306","20150104_022001_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-15","20150104_022001_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/kmeans","5008","20150104030951"
"5004","5004","dfsioe_read","6429","20150103_230217_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","256","al-15","20150103_230217_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_S8_al-15/dfsioe_read","5004","20150104011727"
"5005","5005","dfsioe_read","3862","20150103_231050_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/dfsioe_read","2.86","ETH","RL2","6","10","2","65536","BZIP2","64","al-14","20150103_231050_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/dfsioe_read","5005","20150104005247"
"5003","5003","pagerank","1874","20150103_222007_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/pagerank","1.39","ETH","RL2","6","10","2","65536","BZIP2","64","al-14","20150103_222007_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/pagerank","5003","20150103230656"
"5002","5002","pagerank","2279","20150103_220206_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","None","256","al-15","20150103_220206_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_S8_al-15/pagerank","5002","20150103225900"
"4996","4996","kmeans","1733","20150103_195457_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/kmeans","1.28","ETH","RL2","6","10","2","65536","BZIP2","64","al-14","20150103_195457_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z64_S8_al-14/kmeans","4996","20150103203605"
"4992","4992","dfsioe_read","5982","20150103_171407_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","128","al-15","20150103_171407_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_S8_al-15/dfsioe_read","4992","20150103192206"
"4993","4993","kmeans","1858","20150103_173446_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z32_S8_al-14/kmeans","1.37","ETH","RL2","6","10","2","65536","BZIP2","32","al-14","20150103_173446_conf_ETH_RL2_b_m6_i10_r2_I65536_c2_z32_S8_al-14/kmeans","4993","20150103181803"
"4985","4985","dfsioe_read","3807","20150103_133243_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z256_S8_al-14/dfsioe_read","2.82","ETH","RL2","6","10","2","65536","ZLIB","256","al-14","20150103_133243_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z256_S8_al-14/dfsioe_read","4985","20150103151248"
"4986","4986","kmeans","2446","20150103_134201_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","None","128","al-15","20150103_134201_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_S8_al-15/kmeans","4986","20150103143451"
"4980","4980","dfsioe_read","5952","20150103_102745_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","64","al-15","20150103_102745_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/dfsioe_read","4980","20150103123805"
"4979","4979","dfsioe_read","3691","20150103_093530_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z128_S8_al-14/dfsioe_read","2.73","ETH","RL2","6","10","2","65536","ZLIB","128","al-14","20150103_093530_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z128_S8_al-14/dfsioe_read","4979","20150103111235"
"4976","4976","kmeans","2310","20150103_081603_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","None","64","al-15","20150103_081603_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/kmeans","4976","20150103090620"
"4974","4974","kmeans","1643","20150103_065724_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z128_S8_al-14/kmeans","1.22","ETH","RL2","6","10","2","65536","ZLIB","128","al-14","20150103_065724_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z128_S8_al-14/kmeans","4974","20150103073725"
"4972","4972","dfsioe_read","4556","20150103_055219_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","32","al-15","20150103_055219_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/dfsioe_read","4972","20150103073519"
"4970","4970","dfsioe_read","3958","20150103_040755_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z64_S8_al-14/dfsioe_read","2.93","ETH","RL2","6","10","2","65536","ZLIB","64","al-14","20150103_040755_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z64_S8_al-14/dfsioe_read","4970","20150103055214"
"4971","4971","pagerank","2281","20150103_045149_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","None","32","al-15","20150103_045149_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/pagerank","4971","20150103054908"
"4965","4965","kmeans","1735","20150103_020506_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z64_S8_al-14/kmeans","1.28","ETH","RL2","6","10","2","65536","ZLIB","64","al-14","20150103_020506_conf_ETH_RL2_b_m6_i10_r2_I65536_c1_z64_S8_al-14/kmeans","4965","20150103024724"
"4964","4964","kmeans","2298","20150103_014721_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","None","32","al-15","20150103_014721_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_S8_al-15/kmeans","4964","20150103023713"
"4959","4959","dfsioe_read","6337","20150102_222731_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","64","al-15","20150102_222731_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/dfsioe_read","4959","20150103004035"
"4955","4955","kmeans","1537","20150102_204732_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","None","64","al-15","20150102_204732_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_S8_al-15/kmeans","4955","20150102212503"
"4951","4951","dfsioe_read","4231","20150102_184847_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","256","al-15","20150102_184847_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_S8_al-15/dfsioe_read","4951","20150102201558"
"4952","4952","kmeans","1816","20150102_185546_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z256_S8_al-14/kmeans","1.34","ETH","RL2","6","10","2","65536","None","256","al-14","20150102_185546_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z256_S8_al-14/kmeans","4952","20150102194225"
"4949","4949","pagerank","2651","20150102_174240_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_S8_al-15/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","256","al-15","20150102_174240_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_S8_al-15/pagerank","4949","20150102184513"
"4948","4948","pagerank","2046","20150102_174152_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z128_S8_al-14/pagerank","1.51","ETH","RL2","6","10","2","65536","None","128","al-14","20150102_174152_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z128_S8_al-14/pagerank","4948","20150102183036"
"4946","4946","kmeans","1154","20150102_164402_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z128_S8_al-14/kmeans","0.85","ETH","RL2","6","10","2","65536","None","128","al-14","20150102_164402_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z128_S8_al-14/kmeans","4946","20150102171946"
"4942","4942","dfsioe_read","3797","20150102_140633_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","2.81","ETH","RL2","6","10","2","65536","None","64","al-14","20150102_140633_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","4942","20150102155233"
"4941","4941","pagerank","2605","20150102_134811_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_S8_al-15/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","128","al-15","20150102_134811_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_S8_al-15/pagerank","4941","20150102144930"
"4940","4940","pagerank","1988","20150102_131413_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/pagerank","1.47","ETH","RL2","6","10","2","65536","None","64","al-14","20150102_131413_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/pagerank","4940","20150102140243"
"4933","4933","kmeans","2549","20150102_104133_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_S8_al-15/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","128","al-15","20150102_104133_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_S8_al-15/kmeans","4933","20150102113455"
"4934","4934","kmeans","1906","20150102_104930_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/kmeans","1.41","ETH","RL2","6","10","2","65536","None","64","al-14","20150102_104930_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/kmeans","4934","20150102113305"
"4931","4931","pagerank","1889","20150102_093709_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z32_S8_al-14/pagerank","1.40","ETH","RL2","6","10","2","65536","None","32","al-14","20150102_093709_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z32_S8_al-14/pagerank","4931","20150102102324"
"4926","4926","kmeans","2368","20150102_073529_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_S8_al-15/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-15","20150102_073529_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_S8_al-15/kmeans","4926","20150102082734"
"4927","4927","kmeans","1856","20150102_074436_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z32_S8_al-14/kmeans","1.37","ETH","RL2","6","10","2","65536","None","32","al-14","20150102_074436_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z32_S8_al-14/kmeans","4927","20150102082734"
"4923","4923","dfsioe_read","3040","20150102_052827_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","2.25","ETH","RL2","6","10","2","65536","None","64","al-14","20150102_052827_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","4923","20150102064636"
"4922","4922","dfsioe_read","4116","20150102_051347_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","32","al-15","20150102_051347_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_S8_al-15/dfsioe_read","4922","20150102064022"
"4921","4921","pagerank","1848","20150102_044028_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/pagerank","1.37","ETH","RL2","6","10","2","65536","None","64","al-14","20150102_044028_conf_ETH_RL2_b_m6_i10_r2_I65536_c0_z64_S8_al-14/pagerank","4921","20150102052504"
"4918","4918","kmeans","2606","20150102_024142_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_S8_al-15/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","32","al-15","20150102_024142_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_S8_al-15/kmeans","4918","20150102033720"
"4913","4913","dfsioe_read","4257","20150102_002031_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-15","20150102_002031_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_S8_al-15/dfsioe_read","4913","20150102014825"
"4914","4914","kmeans","1641","20150102_004718_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z256_S8_al-14/kmeans","1.21","ETH","RL2","8","10","2","65536","Snappy","256","al-14","20150102_004718_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z256_S8_al-14/kmeans","4914","20150102012628"
"4910","4910","pagerank","2059","20150101_233158_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z128_S8_al-14/pagerank","1.52","ETH","RL2","8","10","2","65536","Snappy","128","al-14","20150101_233158_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z128_S8_al-14/pagerank","4910","20150102002034"
"4905","4905","dfsioe_read","4206","20150101_202915_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-15","20150101_202915_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/dfsioe_read","4905","20150101215629"
"4904","4904","dfsioe_read","3580","20150101_194903_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","2.65","ETH","RL2","8","10","2","65536","Snappy","64","al-14","20150101_194903_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","4904","20150101211529"
"4903","4903","pagerank","2667","20150101_192432_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-15","20150101_192432_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/pagerank","4903","20150101202604"
"4902","4902","pagerank","2026","20150101_185217_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/pagerank","1.50","ETH","RL2","8","10","2","65536","Snappy","64","al-14","20150101_185217_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/pagerank","4902","20150101194521"
"4896","4896","dfsioe_read","3572","20150101_161346_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z32_S8_al-14/dfsioe_read","2.64","ETH","RL2","8","10","2","65536","Snappy","32","al-14","20150101_161346_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z32_S8_al-14/dfsioe_read","4896","20150101174116"
"4897","4897","kmeans","1598","20150101_163802_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-15","20150101_163802_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_S8_al-15/kmeans","4897","20150101171555"
"4892","4892","dfsioe_read","4107","20150101_142445_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","128","al-15","20150101_142445_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_S8_al-15/dfsioe_read","4892","20150101154903"
"4890","4890","pagerank","2606","20150101_132039_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_S8_al-15/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","128","al-15","20150101_132039_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_S8_al-15/pagerank","4890","20150101142108"
"4887","4887","dfsioe_read","3654","20150101_115921_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","2.70","ETH","RL2","8","10","2","65536","Snappy","64","al-14","20150101_115921_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","4887","20150101132724"
"4884","4884","pagerank","1938","20150101_110907_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/pagerank","1.43","ETH","RL2","8","10","2","65536","Snappy","64","al-14","20150101_110907_conf_ETH_RL2_b_m8_i10_r2_I65536_c3_z64_S8_al-14/pagerank","4884","20150101115534"
"4881","4881","dfsioe_read","3720","20150101_095744_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-15","20150101_095744_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_S8_al-15/dfsioe_read","4881","20150101111635"
