"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Cl.Name","Datanodes","Headnodes","VM.OS","VM.Cores","VM.RAM","Provider","VM.Size","Type"
10164,118,"pagerank","IB","SSD",12,20,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10166,974,"terasort","IB","SSD",12,20,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10170,116,"pagerank","IB","SSD",12,20,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10172,950,"terasort","IB","SSD",12,20,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10176,115,"pagerank","IB","SSD",12,20,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10178,949,"terasort","IB","SSD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10182,116,"pagerank","IB","SSD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10184,956,"terasort","IB","SSD",12,20,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10188,116,"pagerank","IB","SSD",12,20,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10214,952,"terasort","IB","SSD",12,20,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10218,118,"pagerank","IB","SSD",12,20,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10220,953,"terasort","IB","SSD",12,20,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10224,114,"pagerank","IB","SSD",12,20,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10226,947,"terasort","IB","SSD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10231,116,"pagerank","IB","SSD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10233,985,"terasort","IB","SSD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10237,113,"pagerank","IB","SSD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10239,949,"terasort","IB","SSD",12,50,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10243,114,"pagerank","IB","SSD",12,50,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10245,977,"terasort","IB","SSD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10249,115,"pagerank","IB","SSD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10251,1010,"terasort","IB","SSD",12,50,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10255,116,"pagerank","IB","SSD",12,50,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10257,928,"terasort","IB","SSD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10261,114,"pagerank","IB","SSD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10263,946,"terasort","IB","SSD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10267,118,"pagerank","IB","SSD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10269,954,"terasort","IB","SSD",12,50,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10273,114,"pagerank","IB","SSD",12,50,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10275,984,"terasort","IB","SSD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10279,113,"pagerank","IB","SSD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
