"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
1151,3718,"terasort","IB","HDD",12,10,1,4096,"None",256,"Local 1",4572.0467621012
11044,2750,"dfsioe_read","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L",2920.75316968329
10844,2729,"dfsioe_write","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L",2828.9999751238
896,1096,"terasort","ETH","SSD",12,5,1,4096,"None",128,"Local 1",1067.40874204199
10823,763,"sort","ETH","RL3",10,10,1,65536,"ZLIB",256,"Azure L",819.166032221738
565,600,"dfsioe_read","IB","SSD",16,10,1,65536,"ZLIB",64,"Local 1",1150.57081521474
4298,2607,"terasort","ETH","RL2",8,10,3,65536,"BZIP2",256,"Azure L",2698.77002986995
18383,1290,"wordcount","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L",1273.98298789616
1775,3511,"pagerank","ETH","HDD",12,10,3,65536,"None",128,"Local 1",3035.58744769401
20336,3238,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",3125.3416541233
366,522,"wordcount","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1",481.597473865815
977,1076,"terasort","ETH","SSD",12,10,3,4096,"None",64,"Local 1",1068.13264895427
992,935,"sort","ETH","SSD",12,10,3,65536,"None",128,"Local 1",902.700572483193
473,1088,"kmeans","ETH","HDD",16,10,2,65536,"None",64,"Local 1",1375.76862514063
157,3849,"terasort","IB","HDD",12,10,1,65536,"BZIP2",0,"Local 1",4616.86232441275
4317,2767,"terasort","ETH","RL2",10,10,3,65536,"Snappy",128,"Azure L",2791.19026052302
1231,6401,"terasort","IB","HDD",12,10,3,32768,"None",256,"Local 1",4649.17895597587
11008,2864,"dfsioe_read","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",2972.98708257898
1674,1856,"sort","IB","HDD",12,50,1,4096,"None",64,"Local 1",2445.62370571336
10992,2658,"pagerank","ETH","RL3",8,10,3,65536,"None",256,"Azure L",2712.12395142022
4206,2970,"terasort","ETH","RL3",8,10,2,65536,"ZLIB",256,"Azure L",2744.46755432765
624,728,"sort","ETH","SSD",12,10,2,65536,"None",64,"Local 1",795.958255168705
10953,754,"sort","ETH","RL3",10,10,2,65536,"Snappy",64,"Azure L",847.008945918218
20348,3291,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",3125.3416541233
1783,845,"wordcount","ETH","HDD",12,10,3,65536,"None",64,"Local 1",900.769628399234
4212,3022,"terasort","ETH","RL3",8,10,2,65536,"Snappy",64,"Azure L",2876.06535213343
251,447,"sort","IB","SSD",12,10,1,65536,"None",64,"Local 1",561.762876114501
1279,4286,"terasort","ETH","HDD",12,5,1,32768,"None",256,"Local 1",4577.18418140586
778,953,"terasort","IB","SSD",12,10,1,32768,"None",256,"Local 1",996.110300585767
64,653,"terasort","IB","SSD",24,10,1,131072,"None",0,"Local 1",780.054789276983
1982,6616,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",32,"Local 1",5307.59827749229
1652,1303,"kmeans","IB","HDD",12,50,1,131072,"None",64,"Local 1",1407.0671125523
20080,2619,"kmeans","ETH","RL1",8,10,1,65536,"ZLIB",128,"Azure L",2629.20521371517
18621,2907,"pagerank","ETH","RL2",10,10,2,65536,"Snappy",128,"Azure L",2840.49299273056
18894,1246,"wordcount","ETH","RL1",8,10,1,65536,"None",256,"Azure L",1273.85745769337
2217,477,"sort","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1",365.769703857218
1777,2062,"kmeans","ETH","HDD",12,10,3,65536,"None",256,"Local 1",1886.1348265298
576,577,"dfsioe_read","IB","SSD",12,10,2,65536,"ZLIB",64,"Local 1",1022.74673236602
452,972,"kmeans","IB","HDD",24,10,1,65536,"ZLIB",64,"Local 1",857.084909100813
18241,2764,"pagerank","ETH","RL3",10,10,3,65536,"BZIP2",128,"Azure L",2871.88127091118
20086,2668,"kmeans","ETH","RL1",8,10,1,65536,"ZLIB",256,"Azure L",2536.73031396051
395,512,"wordcount","ETH","HDD",24,10,1,65536,"None",64,"Local 1",538.418915869922
20151,1346,"dfsioe_write","ETH","RL1",8,10,1,65536,"Snappy",256,"Azure L",1429.62586929646
1040,929,"sort","ETH","SSD",12,20,3,131072,"None",128,"Local 1",902.700572483193
4314,2489,"terasort","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L",2729.26106099572
1322,4814,"terasort","IB","HDD",24,10,1,65536,"None",64,"Local 1",3363.96613784134
149,1250,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",1521.51860347036
21845,2789,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2743.52844021225
18654,2736,"kmeans","ETH","RL2",8,10,3,65536,"None",256,"Azure L",2646.07172473907
22012,4130,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",256,"Azure L",4104.70579121745
18421,2820,"pagerank","ETH","RL2",10,10,1,65536,"None",128,"Azure L",2821.39491017441
21846,1281,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",1279.36081743385
