"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
20273,1279,"wordcount","ETH","RL1",8,10,2,65536,"None",64,"Azure L",1274.74629878129
702,3692,"dfsioe_write","IB","HDD",16,10,3,65536,"ZLIB",64,"Local 1",4111.01965788152
1362,2137,"pagerank","ETH","SSD",12,50,3,65536,"None",32,"Local 1",2082.00768972949
798,949,"terasort","IB","SSD",12,20,1,131072,"None",256,"Local 1",987.417508272135
627,956,"dfsioe_read","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1",1212.43811859168
1150,3752,"terasort","IB","HDD",12,10,1,4096,"None",128,"Local 1",4268.97721593082
18646,2786,"dfsioe_read","ETH","RL2",8,10,3,65536,"None",64,"Azure L",2969.3775790872
18454,2634,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L",2211.53288113751
18701,4866,"dfsioe_write","ETH","RL2",8,10,3,65536,"BZIP2",32,"Azure L",4438.99632277027
4172,2279,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L",2575.5241065619
68,658,"terasort","IB","SSD",24,5,1,65536,"None",0,"Local 1",780.054789276983
905,1050,"terasort","ETH","SSD",12,10,1,32768,"None",256,"Local 1",1067.40874204199
21935,2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2530.04367626435
18345,1288,"dfsioe_write","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L",1461.01591964865
18893,2650,"kmeans","ETH","RL1",8,10,1,65536,"None",256,"Azure L",2625.93216330738
1237,4066,"terasort","IB","HDD",12,10,3,4096,"None",32,"Local 1",4117.9601106046
958,1084,"terasort","ETH","SSD",12,5,3,4096,"None",32,"Local 1",1068.13264895427
18501,651,"sort","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L",807.576628368127
1301,4299,"terasort","ETH","HDD",12,20,3,4096,"None",32,"Local 1",4113.97317960372
266,3612,"dfsioe_read","ETH","SSD",12,10,1,65536,"None",64,"Local 1",2769.85986133815
21965,2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",2533.49385533797
143,944,"sort","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",2569.1448772442
1157,4509,"terasort","IB","HDD",12,20,1,32768,"None",32,"Local 1",4037.00405538786
1505,981,"wordcount","IB","HDD",12,10,1,4096,"None",128,"Local 1",998.825696211935
18584,726,"sort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L",839.921896887874
869,962,"terasort","IB","SSD",12,20,3,65536,"None",256,"Local 1",974.157480880719
