"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2347",2346,"sort","ETH","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"2737",2156,"sort","IB","HDD",12,50,1,65536,"None",32,"Local 1"
"925",721,"sort","ETH","RL2",8,10,3,65536,"ZLIB",32,"Azure L"
"997",830,"sort","ETH","RL2",10,10,2,65536,"BZIP2",256,"Azure L"
"2825",2411,"sort","IB","HDD",12,20,1,4096,"None",256,"Local 1"
"1481",695,"sort","ETH","RL3",8,10,3,65536,"BZIP2",64,"Azure L"
"2627",3142,"sort","ETH","HDD",12,20,3,32768,"None",32,"Local 1"
"3033",3484,"sort","IB","HDD",12,5,1,32768,"None",32,"Local 1"
"406",668,"sort","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L"
"250",762,"sort","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"454",647,"sort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"1520",814,"sort","ETH","RL3",8,10,3,65536,"None",128,"Azure L"
"2894",3111,"sort","IB","HDD",12,10,1,65536,"None",32,"Local 1"
"292",726,"sort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"17",809,"sort","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"2667",2487,"sort","ETH","HDD",12,10,3,4096,"None",32,"Local 1"
"3704",3968,"sort","IB","HDD",24,10,3,65536,"None",64,"Local 1"
"3387",950,"sort","ETH","SSD",12,20,3,32768,"None",256,"Local 1"
"3364",941,"sort","ETH","SSD",12,20,3,131072,"None",256,"Local 1"
"3662",5683,"sort","ETH","HDD",12,10,3,65536,"ZLIB",64,"Local 1"
"3811",517,"sort","IB","SSD",16,10,3,65536,"None",64,"Local 1"
"3833",462,"sort","IB","SSD",12,10,2,65536,"None",64,"Local 1"
"1325",770,"sort","ETH","RL3",10,10,3,65536,"Snappy",32,"Azure L"
"680",585,"sort","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L"
"3690",2161,"sort","ETH","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"3043",929,"sort","ETH","SSD",12,50,3,65536,"None",256,"Local 1"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"4177",577,"sort","ETH","SSD",12,10,1,65536,"None",128,"Local 1"
"2840",2386,"sort","IB","HDD",12,20,1,131072,"None",64,"Local 1"
"3335",980,"sort","ETH","SSD",12,20,3,4096,"None",64,"Local 1"
"1604",745,"sort","ETH","RL3",8,10,2,65536,"None",64,"Azure L"
"907",743,"sort","ETH","RL2",8,10,3,65536,"ZLIB",256,"Azure L"
"2797",2850,"sort","IB","HDD",12,50,1,32768,"None",32,"Local 1"
"4205",2387,"sort","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"1277",695,"sort","ETH","RL2",8,10,1,65536,"None",256,"Azure L"
"2214",474,"sort","IB","SSD",12,10,1,65536,"BZIP2",128,"Local 1"
"3306",1036,"sort","ETH","SSD",12,50,3,32768,"None",32,"Local 1"
"2859",3499,"sort","IB","HDD",12,20,1,32768,"None",64,"Local 1"
"2752",1904,"sort","IB","HDD",12,50,1,4096,"None",128,"Local 1"
"1283",599,"sort","ETH","RL2",8,10,1,65536,"None",128,"Azure L"
"3819",490,"sort","IB","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"579",700,"sort","ETH","RL1",10,10,1,65536,"None",256,"Azure L"
"3653",4961,"sort","ETH","HDD",24,10,3,65536,"None",64,"Local 1"
"1301",570,"sort","ETH","RL2",8,10,1,65536,"None",64,"Azure L"
"4304",1965,"sort","IB","HDD",12,10,1,65536,"None",0,"Local 1"
"1021",709,"sort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"502",671,"sort","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L"
"3068",961,"sort","ETH","SSD",12,50,3,4096,"None",128,"Local 1"
"334",740,"sort","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"2944",2784,"sort","IB","HDD",12,10,1,32768,"None",256,"Local 1"
