"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"48",2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"481",2551,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"1462",2737,"pagerank","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L"
"180",3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"1213",2768,"kmeans","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L"
"1341",2700,"dfsioe_read","ETH","RL3",10,10,3,65536,"BZIP2",128,"Azure L"
"3116",4868,"terasort","ETH","HDD",12,20,3,131072,"None",128,"Local 1"
"3164",4205,"terasort","IB","HDD",12,20,3,131072,"None",128,"Local 1"
"3197",4232,"terasort","IB","HDD",12,5,3,131072,"None",32,"Local 1"
"3414",991,"terasort","ETH","SSD",12,10,3,65536,"None",256,"Local 1"
"1934",2553,"terasort","ETH","RL1",8,10,1,65536,"None",128,"Azure L"
"4107",508,"dfsioe_write","IB","SSD",12,10,1,65536,"None",32,"Local 1"
"4067",661,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"1323",2991,"dfsioe_read","ETH","RL3",10,10,3,65536,"Snappy",32,"Azure L"
"3619",970,"terasort","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"931",706,"sort","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"342",2626,"kmeans","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"369",2685,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L"
"1764",700,"sort","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"4191",1200,"bayes","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"3014",965,"wordcount","IB","HDD",12,5,1,131072,"None",32,"Local 1"
"521",1400,"wordcount","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L"
"463",2504,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"681",1286,"wordcount","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L"
"111",2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"4154",7978,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",128,"Local 1"
"2236",674,"wordcount","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"707",1319,"dfsioe_write","ETH","RL1",8,10,1,65536,"None",64,"Azure L"
"3453",1018,"terasort","ETH","SSD",12,5,3,131072,"None",256,"Local 1"
"3123",4613,"terasort","ETH","HDD",12,5,1,65536,"None",256,"Local 1"
"3742",2882,"dfsioe_read","IB","HDD",16,10,1,65536,"None",64,"Local 1"
"3956",720,"kmeans","IB","HDD",16,10,1,65536,"None",64,"Local 1"
"505",1339,"dfsioe_write","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L"
"2180",609,"wordcount","IB","SSD",12,10,1,65536,"Snappy",128,"Local 1"
"3768",624,"sort","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"1414",2862,"pagerank","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"237",2653,"pagerank","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"3357",1084,"bayes","ETH","SSD",12,20,3,131072,"None",64,"Local 1"
"3159",4149,"terasort","IB","HDD",12,20,3,4096,"None",256,"Local 1"
"3991",1092,"kmeans","IB","SSD",16,10,1,65536,"ZLIB",64,"Local 1"
"2238",375,"dfsioe_write","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1"
"3564",980,"terasort","IB","SSD",12,10,3,131072,"None",128,"Local 1"
"55",4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"1423",2615,"kmeans","ETH","RL3",10,10,3,65536,"None",64,"Azure L"
"1488",1239,"wordcount","ETH","RL3",8,10,3,65536,"ZLIB",256,"Azure L"
"2378",1168,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"2960",1310,"kmeans","IB","HDD",12,5,1,65536,"None",64,"Local 1"
"1558",1278,"wordcount","ETH","RL3",10,10,2,65536,"Snappy",32,"Azure L"
"402",2696,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L"
"669",1255,"wordcount","ETH","RL1",8,10,1,65536,"ZLIB",256,"Azure L"
"3641",963,"terasort","IB","SSD",12,5,1,131072,"None",64,"Local 1"
"2474",1474,"kmeans","IB","HDD",12,10,1,65536,"Snappy",32,"Local 1"
"2834",2250,"pagerank","IB","HDD",12,20,1,4096,"None",32,"Local 1"
"2394",1089,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"3356",1045,"terasort","ETH","SSD",12,20,3,4096,"None",32,"Local 1"
"1500",1277,"wordcount","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L"
"310",805,"sort","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"1278",1265,"wordcount","ETH","RL2",8,10,1,65536,"None",256,"Azure L"
"929",2725,"dfsioe_read","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"1196",1384,"dfsioe_write","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L"
"3967",1089,"kmeans","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"1821",2644,"dfsioe_write","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"3399",1031,"sort","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"2729",1284,"kmeans","IB","HDD",12,50,1,65536,"None",256,"Local 1"
"1492",2821,"pagerank","ETH","RL3",8,10,3,65536,"ZLIB",128,"Azure L"
"3363",2045,"pagerank","ETH","SSD",12,20,3,131072,"None",256,"Local 1"
"1900",2705,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",128,"Azure L"
"3423",1012,"sort","ETH","SSD",12,10,3,65536,"None",32,"Local 1"
"4127",1968,"hivebench_join","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"1174",2899,"pagerank","ETH","RL2",10,10,1,65536,"None",32,"Azure L"
"2234",1852,"pagerank","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"1823",2615,"pagerank","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"1053",2561,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",64,"Azure L"
"644",584,"sort","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L"
"1950",2507,"terasort","ETH","RL2",10,10,3,65536,"None",128,"Azure L"
"3570",968,"terasort","IB","SSD",12,5,3,65536,"None",64,"Local 1"
"2788",1024,"wordcount","IB","HDD",12,50,1,32768,"None",256,"Local 1"
"1381",2601,"kmeans","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L"
"787",3033,"pagerank","ETH","RL2",10,10,3,65536,"ZLIB",256,"Azure L"
"4001",698,"wordcount","ETH","HDD",12,10,3,65536,"None",64,"Local 1"
"4016",613,"wordcount","IB","HDD",16,10,3,65536,"ZLIB",64,"Local 1"
"247",2718,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"1516",2720,"kmeans","ETH","RL3",8,10,3,65536,"None",256,"Azure L"
"1427",788,"sort","ETH","RL3",8,10,3,65536,"Snappy",256,"Azure L"
"4368",684,"terasort","IB","SSD",24,100,3,65536,"None",0,"Local 1"
"98",2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"2986",1128,"bayes","IB","HDD",12,5,1,4096,"None",128,"Local 1"
"821",4738,"dfsioe_write","ETH","RL2",10,10,3,65536,"None",128,"Azure L"
"2169",1366,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L"
"4025",705,"wordcount","IB","HDD",12,10,2,65536,"None",64,"Local 1"
"1724",2610,"kmeans","ETH","RL3",10,10,1,65536,"None",64,"Azure L"
"2965",1355,"kmeans","IB","HDD",12,5,1,65536,"None",256,"Local 1"
"2463",1096,"bayes","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2883",2197,"pagerank","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"3930",344,"kmeans","ETH","HDD",24,10,2,65536,"None",64,"Local 1"
"963",2800,"kmeans","ETH","RL2",8,10,3,65536,"None",64,"Azure L"
"2572",1296,"kmeans","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"3684",2307,"sort","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"1415",823,"sort","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"102",2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"903",2800,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"4305",662,"wordcount","IB","HDD",12,10,1,65536,"None",0,"Local 1"
"3531",940,"terasort","IB","SSD",12,50,3,131072,"None",256,"Local 1"
"3935",978,"kmeans","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"1285",2629,"kmeans","ETH","RL2",8,10,1,65536,"None",128,"Azure L"
"2602",4228,"sort","ETH","HDD",12,20,3,131072,"None",128,"Local 1"
"4369",737,"terasort","ETH","SSD",24,100,2,65536,"None",0,"Local 1"
"2962",2212,"pagerank","IB","HDD",12,5,1,65536,"None",256,"Local 1"
"2441",6662,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"589",4016,"dfsioe_read","ETH","RL1",10,10,1,65536,"None",64,"Azure L"
"1829",2706,"pagerank","ETH","RL3",8,10,1,65536,"None",256,"Azure L"
"2454",1327,"dfsioe_write","IB","HDD",12,10,1,65536,"Snappy",128,"Local 1"
"1086",3719,"dfsioe_read","ETH","RL2",10,10,1,65536,"Snappy",32,"Azure L"
"449",1338,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L"
"4181",1376,"hivebench_join","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"4030",690,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"2706",3330,"pagerank","ETH","HDD",12,10,3,32768,"None",32,"Local 1"
"673",2619,"pagerank","ETH","RL1",8,10,1,65536,"ZLIB",128,"Azure L"
"2489",1313,"dfsioe_write","IB","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"1790",3036,"kmeans","ETH","RL3",8,10,1,65536,"BZIP2",32,"Azure L"
"3616",958,"terasort","IB","SSD",12,20,1,32768,"None",32,"Local 1"
"2701",2470,"pagerank","ETH","HDD",12,10,3,32768,"None",128,"Local 1"
"304",714,"sort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"3723",2394,"dfsioe_read","IB","HDD",16,10,2,65536,"ZLIB",64,"Local 1"
"2562",2065,"pagerank","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"2392",1160,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"4280",589,"hivebench_join","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"2340",2518,"sort","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"4120",2043,"pagerank","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"1126",2822,"pagerank","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"865",716,"sort","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L"
"2075",2406,"terasort","ETH","RL3",8,10,1,65536,"Snappy",32,"Azure L"
"19",4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"988",2556,"dfsioe_write","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L"
"1924",2798,"terasort","ETH","RL1",8,10,1,65536,"Snappy",64,"Azure L"
"1227",4047,"dfsioe_read","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"2134",2523,"terasort","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L"
"164",2787,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"147",2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"909",2731,"kmeans","ETH","RL2",8,10,3,65536,"ZLIB",256,"Azure L"
"958",4672,"dfsioe_write","ETH","RL2",8,10,3,65536,"None",64,"Azure L"
"3645",928,"terasort","IB","SSD",12,5,1,32768,"None",64,"Local 1"
"417",2716,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L"
"2800",1092,"bayes","IB","HDD",12,20,1,65536,"None",64,"Local 1"
"3739",2342,"dfsioe_read","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"4271",3314,"dfsioe_read","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"2151",2370,"terasort","ETH","RL3",8,10,2,65536,"Snappy",64,"Azure L"
"2499",2085,"pagerank","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"2291",428,"sort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"2292",682,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"2952",1099,"bayes","IB","HDD",12,10,1,32768,"None",32,"Local 1"
"85",4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"3861",5516,"terasort","ETH","HDD",12,10,2,65536,"ZLIB",64,"Local 1"
"1585",2656,"pagerank","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L"
"2827",1428,"kmeans","IB","HDD",12,20,1,4096,"None",256,"Local 1"
"2235",465,"sort","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"2344",6202,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"1229",678,"sort","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"567",2888,"pagerank","ETH","RL1",10,10,1,65536,"ZLIB",32,"Azure L"
"2702",3730,"sort","ETH","HDD",12,10,3,32768,"None",128,"Local 1"
