"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2979",879,"wordcount","IB","HDD",12,5,1,4096,"None",64,"Local 1"
"4335",826,"terasort","ETH","SSD",32,10,1,65536,"None",0,"Local 1"
"3378",1047,"terasort","ETH","SSD",12,20,3,131072,"None",32,"Local 1"
"477",2706,"pagerank","ETH","RL1",8,10,2,65536,"None",32,"Azure L"
"3601",985,"terasort","IB","SSD",12,20,1,65536,"None",64,"Local 1"
"3892",968,"terasort","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"1307",860,"sort","ETH","RL3",10,10,3,65536,"Snappy",256,"Azure L"
"102",2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"174",2814,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"3641",963,"terasort","IB","SSD",12,5,1,131072,"None",64,"Local 1"
"919",691,"sort","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"302",2954,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"2060",2645,"terasort","ETH","RL3",10,10,1,65536,"BZIP2",256,"Azure L"
"1384",2872,"pagerank","ETH","RL3",10,10,3,65536,"ZLIB",32,"Azure L"
"3688",1215,"dfsioe_write","ETH","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"2891",1310,"kmeans","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"401",1241,"wordcount","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L"
"1042",2521,"dfsioe_write","ETH","RL2",10,10,2,65536,"ZLIB",32,"Azure L"
"2949",2683,"sort","IB","HDD",12,10,1,32768,"None",128,"Local 1"
"3401",1455,"kmeans","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"1170",1275,"wordcount","ETH","RL2",10,10,1,65536,"None",64,"Azure L"
"2219",1089,"bayes","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"1901",3066,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"1818",654,"sort","ETH","RL3",8,10,1,65536,"ZLIB",32,"Azure L"
"1477",3007,"kmeans","ETH","RL3",8,10,3,65536,"BZIP2",32,"Azure L"
"1667",2823,"pagerank","ETH","RL3",10,10,1,65536,"BZIP2",32,"Azure L"
"3355",1463,"kmeans","ETH","SSD",12,20,3,4096,"None",32,"Local 1"
"1903",2811,"terasort","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"2641",3511,"pagerank","ETH","HDD",12,10,3,65536,"None",128,"Local 1"
"1380",1273,"wordcount","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L"
"2869",2499,"sort","IB","HDD",12,20,1,32768,"None",128,"Local 1"
"130",767,"sort","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"3636",929,"terasort","IB","SSD",12,5,1,65536,"None",32,"Local 1"
"4034",635,"wordcount","ETH","SSD",16,10,3,65536,"ZLIB",64,"Local 1"
"1904",3142,"terasort","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"129",2779,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"2562",2065,"pagerank","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"3472",1036,"terasort","ETH","SSD",12,50,1,32768,"None",64,"Local 1"
"2368",2793,"sort","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"1400",4362,"dfsioe_write","ETH","RL3",10,10,3,65536,"None",128,"Azure L"
"1655",2835,"pagerank","ETH","RL3",10,10,1,65536,"BZIP2",128,"Azure L"
"1191",4038,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",128,"Azure L"
"3063",940,"sort","ETH","SSD",12,50,3,4096,"None",256,"Local 1"
"640",2704,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",256,"Azure L"
"2576",2154,"pagerank","IB","HDD",12,10,1,65536,"None",32,"Local 1"
"1333",2607,"kmeans","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L"
