"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2789",1290,"kmeans","IB","HDD",12,50,1,32768,"None",256,"Local 1"
"2285",628,"wordcount","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"4162",9285,"dfsioe_read","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"1342",2764,"pagerank","ETH","RL3",10,10,3,65536,"BZIP2",128,"Azure L"
"2012",2470,"terasort","ETH","RL2",10,10,1,65536,"None",256,"Azure L"
"2296",1099,"bayes","IB","SSD",12,10,1,65536,"None",32,"Local 1"
"827",3001,"dfsioe_read","ETH","RL2",10,10,3,65536,"None",64,"Azure L"
"753",1270,"wordcount","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L"
"2787",2764,"sort","IB","HDD",12,50,1,32768,"None",256,"Local 1"
"882",2769,"pagerank","ETH","RL2",8,10,3,65536,"BZIP2",128,"Azure L"
"2042",3022,"terasort","ETH","RL3",8,10,2,65536,"Snappy",64,"Azure L"
"1764",700,"sort","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"4142",660,"wordcount","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"2207",390,"sort","IB","SSD",12,10,1,65536,"BZIP2",256,"Local 1"
"1315",2533,"kmeans","ETH","RL3",10,10,3,65536,"Snappy",128,"Azure L"
"442",634,"sort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"3135",4286,"terasort","ETH","HDD",12,5,1,32768,"None",256,"Local 1"
"2388",2069,"pagerank","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"955",747,"sort","ETH","RL2",8,10,3,65536,"None",32,"Azure L"
"2587",2806,"sort","ETH","HDD",12,20,3,4096,"None",32,"Local 1"
"2975",1468,"kmeans","IB","HDD",12,5,1,65536,"None",32,"Local 1"
"4099",447,"dfsioe_write","ETH","SSD",12,10,1,65536,"None",32,"Local 1"
"3509",1034,"terasort","ETH","SSD",12,5,1,65536,"None",32,"Local 1"
"2943",2304,"pagerank","IB","HDD",12,10,1,32768,"None",256,"Local 1"
"2662",2666,"sort","ETH","HDD",12,10,3,4096,"None",128,"Local 1"
"781",2817,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"3034",1003,"wordcount","IB","HDD",12,5,1,32768,"None",32,"Local 1"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"510",2717,"kmeans","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L"
"2929",2316,"sort","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"4073",474,"wordcount","IB","SSD",24,10,1,65536,"None",64,"Local 1"
"195",2753,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"1188",1254,"wordcount","ETH","RL2",8,10,1,65536,"Snappy",256,"Azure L"
"799",2876,"pagerank","ETH","RL2",10,10,3,65536,"ZLIB",64,"Azure L"
"2366",1103,"bayes","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"3265",3794,"terasort","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"3197",4232,"terasort","IB","HDD",12,5,3,131072,"None",32,"Local 1"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"1487",711,"sort","ETH","RL3",8,10,3,65536,"ZLIB",256,"Azure L"
"3230",5337,"terasort","IB","HDD",12,20,1,65536,"None",64,"Local 1"
"452",2982,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"3875",2989,"terasort","IB","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"207",2662,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"2891",1310,"kmeans","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"903",2800,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"3491",1077,"terasort","ETH","SSD",12,10,1,65536,"None",256,"Local 1"
"1470",1287,"wordcount","ETH","RL3",8,10,3,65536,"BZIP2",64,"Azure L"
"2093",5532,"terasort","ETH","R1",8,10,2,65536,"BZIP2",64,"Azure L"
"2807",2630,"sort","IB","HDD",12,20,1,65536,"None",256,"Local 1"
"3360",1243,"kmeans","ETH","SSD",12,20,3,131072,"None",64,"Local 1"
"1582",3502,"kmeans","ETH","RL3",8,10,2,65536,"ZLIB",32,"Azure L"
"350",2770,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"3745",2653,"dfsioe_read","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"1383",2999,"dfsioe_read","ETH","RL3",10,10,3,65536,"ZLIB",32,"Azure L"
"1412",4637,"dfsioe_write","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"4301",2083,"pagerank","IB","HDD",12,10,1,65536,"None",0,"Local 1"
"1628",2537,"kmeans","ETH","RL3",10,10,1,65536,"Snappy",128,"Azure L"
"2379",6740,"dfsioe_read","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"2048",2970,"terasort","ETH","RL3",8,10,2,65536,"ZLIB",256,"Azure L"
"2979",879,"wordcount","IB","HDD",12,5,1,4096,"None",64,"Local 1"
"4248",1002,"terasort","ETH","SSD",12,10,1,65536,"BZIP2",0,"Local 1"
