"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"4086",1489,"kmeans","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"1080",1318,"dfsioe_write","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L"
"3903",1025,"terasort","ETH","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"2220",1843,"pagerank","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"2555",2091,"pagerank","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"2482",1329,"dfsioe_write","IB","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"2929",2316,"sort","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"3399",1031,"sort","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"2265",1414,"kmeans","IB","SSD",12,10,1,65536,"ZLIB",32,"Local 1"
"2479",2422,"sort","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2277",412,"sort","IB","SSD",12,10,1,65536,"None",256,"Local 1"
"3163",4282,"terasort","IB","HDD",12,20,3,131072,"None",256,"Local 1"
"4035",618,"wordcount","ETH","SSD",16,10,3,65536,"None",64,"Local 1"
"3538",996,"terasort","IB","SSD",12,20,3,65536,"None",64,"Local 1"
"772",2632,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"2343",1228,"dfsioe_write","ETH","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"1709",2878,"pagerank","ETH","RL3",10,10,1,65536,"None",256,"Azure L"
"2375",2723,"sort","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"77",1305,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"1012",2565,"dfsioe_write","ETH","RL2",10,10,2,65536,"BZIP2",32,"Azure L"
"2920",811,"wordcount","IB","HDD",12,10,1,131072,"None",64,"Local 1"
"3249",3536,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"3634",941,"terasort","IB","SSD",12,5,1,65536,"None",256,"Local 1"
"2933",2066,"pagerank","IB","HDD",12,10,1,131072,"None",32,"Local 1"
"2218",1263,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"2504",6982,"dfsioe_read","IB","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"2246",1167,"dfsioe_read","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1"
"2120",5202,"terasort","ETH","R3",8,10,1,65536,"Snappy",64,"Azure L"
"3242",3840,"terasort","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"890",1290,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"2810",1172,"bayes","IB","HDD",12,20,1,65536,"None",128,"Local 1"
"1492",2821,"pagerank","ETH","RL3",8,10,3,65536,"ZLIB",128,"Azure L"
"3373",1097,"bayes","ETH","SSD",12,20,3,131072,"None",32,"Local 1"
"2253",1283,"dfsioe_read","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"478",665,"sort","ETH","RL1",8,10,2,65536,"None",32,"Azure L"
"3893",768,"terasort","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"248",2804,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"3657",3531,"dfsioe_write","ETH","HDD",16,10,3,65536,"None",64,"Local 1"
"1752",629,"sort","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"2026",2679,"terasort","ETH","RL2",8,10,1,65536,"ZLIB",64,"Azure L"
"2049",2932,"terasort","ETH","RL3",8,10,2,65536,"ZLIB",128,"Azure L"
"2583",881,"wordcount","ETH","HDD",12,20,3,4096,"None",128,"Local 1"
"3510",1057,"terasort","ETH","SSD",12,5,1,4096,"None",64,"Local 1"
"1264",2656,"pagerank","ETH","RL2",8,10,1,65536,"ZLIB",32,"Azure L"
"128",2854,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"1229",678,"sort","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"3048",949,"sort","ETH","SSD",12,50,3,65536,"None",128,"Local 1"
"2373",1096,"bayes","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"778",2738,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",32,"Azure L"
"3684",2307,"sort","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"3773",1117,"dfsioe_read","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"3116",4868,"terasort","ETH","HDD",12,20,3,131072,"None",128,"Local 1"
"4381",850,"terasort","ETH","SSD",12,100,1,65536,"None",0,"Local 1"
"3739",2342,"dfsioe_read","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"1463",765,"sort","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L"
"1522",2642,"kmeans","ETH","RL3",8,10,3,65536,"None",128,"Azure L"
"44",2691,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"3426",992,"terasort","ETH","SSD",12,10,3,65536,"None",32,"Local 1"
