"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
751,4894,"sort","ETH","HDD",16,10,3,65536,"ZLIB",64,"Local 1",4894
18428,3577,"dfsioe_read","ETH","RL2",10,10,1,65536,"None",256,"Azure L",3577
18739,1258,"wordcount","ETH","RL2",8,10,3,65536,"Snappy",128,"Azure L",1258
493,841,"terasort","IB","SSD",16,10,2,65536,"ZLIB",64,"Local 1",841
152,1215,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",0,"Local 1",1215
362,693,"wordcount","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1",693
21928,2770,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2770
11079,2869,"pagerank","ETH","RL3",8,10,3,65536,"Snappy",256,"Azure L",2869
2172,467,"dfsioe_write","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1",467
21887,2626,"kmeans","ETH","RL1",10,10,2,65536,"None",256,"Azure L",2626
1817,1773,"kmeans","ETH","HDD",12,20,3,131072,"None",256,"Local 1",1773
4107,2344,"terasort","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L",2344
20264,4236,"dfsioe_read","ETH","RL1",10,10,1,65536,"Snappy",128,"Azure L",4236
10859,710,"sort","ETH","RL3",10,10,1,65536,"Snappy",64,"Azure L",710
21893,2570,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L",2570
21862,2678,"dfsioe_write","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L",2678
10928,3205,"kmeans","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",3205
1184,5337,"terasort","IB","HDD",12,20,1,65536,"None",64,"Local 1",5337
1400,965,"wordcount","IB","HDD",12,5,1,131072,"None",32,"Local 1",965
1025,1009,"terasort","ETH","SSD",12,20,3,32768,"None",64,"Local 1",1009
4138,5321,"terasort","ETH","R3",8,10,2,65536,"Snappy",64,"Azure L",5321
90,984,"terasort","ETH","SSD",12,10,1,65536,"None",0,"Local 1",984
203,1939,"hivebench_join","IB","HDD",12,10,1,65536,"None",256,"Local 1",1939
18203,1273,"wordcount","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",1273
1383,1090,"bayes","IB","HDD",12,5,1,32768,"None",32,"Local 1",1090
216,987,"terasort","IB","SSD",12,10,1,65536,"None",128,"Local 1",978.5
1126,4033,"terasort","IB","HDD",12,5,1,32768,"None",128,"Local 1",4033
20318,3193,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",3087.5
18437,1290,"wordcount","ETH","RL2",10,10,1,65536,"ZLIB",32,"Azure L",1290
2167,611,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1",611
354,519,"wordcount","IB","SSD",24,10,3,65536,"ZLIB",64,"Local 1",519
4131,5171,"terasort","ETH","R3",8,10,1,65536,"None",64,"Azure L",5171
2185,1145,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1",1145
18361,2603,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",128,"Azure L",2603
18247,2874,"pagerank","ETH","RL3",10,10,3,65536,"BZIP2",256,"Azure L",2874
11009,4521,"dfsioe_write","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",4521
1405,1166,"wordcount","IB","HDD",12,5,1,131072,"None",128,"Local 1",1166
21982,2718,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",2718
1089,1126,"bayes","ETH","SSD",12,20,3,65536,"None",128,"Local 1",1126
20208,804,"sort","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L",804
1389,1372,"kmeans","IB","HDD",12,5,1,32768,"None",256,"Local 1",1372
4407,3331,"terasort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",3331
375,603,"wordcount","IB","HDD",16,10,1,65536,"None",64,"Local 1",603
132,559,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1",559
18275,1389,"wordcount","ETH","RL3",10,10,3,65536,"Snappy",256,"Azure L",1389
748,5344,"sort","ETH","HDD",16,10,3,65536,"None",64,"Local 1",5344
888,1089,"terasort","ETH","SSD",12,5,1,32768,"None",128,"Local 1",1089
20145,1202,"dfsioe_write","ETH","RL1",8,10,1,65536,"Snappy",128,"Azure L",1202
1307,5162,"terasort","ETH","HDD",12,20,3,65536,"None",256,"Local 1",5162
18836,2878,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L",2878
