"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
18380,3788,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L",3719
18286,2976,"kmeans","ETH","RL2",8,10,1,65536,"None",32,"Azure L",3535.5
11006,670,"sort","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",721
943,1062,"terasort","ETH","SSD",12,50,1,4096,"None",128,"Local 1",1113
270,4671,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1",5337
4250,2609,"terasort","ETH","RL2",10,10,1,65536,"BZIP2",256,"Azure L",2642
10703,672,"sort","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L",763
629,690,"sort","ETH","SSD",16,10,2,65536,"None",64,"Local 1",728
21923,2583,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2790
10921,8837,"dfsioe_write","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",4521
22067,2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L",2639
1491,2249,"sort","IB","HDD",12,10,1,131072,"None",256,"Local 1",2532
20157,1362,"dfsioe_write","ETH","RL1",10,10,1,65536,"None",64,"Azure L",1322
22193,2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2788
18825,2923,"dfsioe_read","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L",2457
402,510,"wordcount","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1",517
857,947,"terasort","IB","SSD",12,20,3,32768,"None",256,"Local 1",977
18289,2622,"pagerank","ETH","RL2",8,10,1,65536,"None",32,"Azure L",2863
205,1209,"dfsioe_write","IB","HDD",12,10,1,65536,"None",256,"Local 1",2323
1790,2401,"pagerank","ETH","HDD",12,20,3,32768,"None",32,"Local 1",2537
18573,2773,"pagerank","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L",2843
22180,4306,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",4237
2093,1104,"bayes","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1",1105
18407,1288,"wordcount","ETH","RL2",10,10,1,65536,"None",32,"Azure L",1276
979,664,"wordcount","ETH","SSD",12,10,3,4096,"None",64,"Local 1",666
394,606,"wordcount","ETH","HDD",16,10,1,65536,"ZLIB",64,"Local 1",556
1736,1135,"bayes","ETH","HDD",12,10,3,131072,"None",128,"Local 1",1108
695,3194,"dfsioe_read","IB","HDD",12,10,3,65536,"ZLIB",64,"Local 1",2394
21944,2917,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L",2655
18441,1417,"dfsioe_write","ETH","RL2",10,10,1,65536,"ZLIB",32,"Azure L",1241
18842,2886,"pagerank","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L",2930
18395,1254,"wordcount","ETH","RL2",8,10,1,65536,"Snappy",256,"Azure L",1300
4356,3066,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",3233
4376,3030,"terasort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",3088
1102,1020,"terasort","ETH","SSD",12,50,3,32768,"None",32,"Local 1",953
1067,1195,"kmeans","ETH","SSD",12,20,3,4096,"None",256,"Local 1",1184
116,869,"terasort","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1",1119
529,5400,"terasort","IB","HDD",16,10,2,65536,"ZLIB",64,"Local 1",5125
109,848,"kmeans","ETH","HDD",12,10,1,65536,"None",0,"Local 1",1327
1265,3873,"terasort","IB","HDD",12,50,3,131072,"None",32,"Local 1",3670
2080,6750,"dfsioe_read","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1",3002.66666666667
1740,3620,"pagerank","ETH","HDD",12,10,3,131072,"None",256,"Local 1",3511
1293,2377,"terasort","ETH","HDD",12,10,1,32768,"None",32,"Local 1",4293
18344,3856,"dfsioe_read","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L",2740
20093,1282,"wordcount","ETH","RL1",8,10,1,65536,"BZIP2",64,"Azure L",1326
20247,1281,"dfsioe_write","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L",1405
18821,2632,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L",2802.5
18712,2834,"dfsioe_read","ETH","RL2",8,10,3,65536,"BZIP2",128,"Azure L",2773.5
10704,2694,"pagerank","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L",2828
18198,842,"sort","ETH","RL3",10,10,3,65536,"ZLIB",32,"Azure L",721
18667,1325,"wordcount","ETH","RL2",8,10,3,65536,"ZLIB",32,"Azure L",1277
10790,2917,"dfsioe_write","ETH","RL3",10,10,1,65536,"None",128,"Azure L",2292
18891,4203,"dfsioe_read","ETH","RL1",8,10,1,65536,"None",128,"Azure L",4140
10817,768,"sort","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L",763
