"pout","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"34",781,1964.26063904507,38.3910060550966,3.01931100394422,-1.60719839464414,1.35992089573366,0.185098388365624,-0.293844609224619,-0.0794599736154594,-0.546467060352812,-0.653696109264194,0.252378727154712,0.580323594918278,0.0359584091537891,-0.700138866484451,0.191136741195218,0.611700746085761,-0.317617740906536,-0.16042297068183,-0.137775341764187,0.0368424347264575
"47",1293,1964.26252463443,-25.6073271818737,3.09179961765204,-1.1456301785403,1.35048481904798,0.216039262696596,-0.290723876760191,-0.0160402937669496,-0.536185184235462,-0.660742919636609,0.288126108972108,-0.676819624570129,0.318608172795622,0.162245608323894,0.52127998148487,-0.601806600829974,-0.370546587510924,-0.155811985312646,-0.144625689449103,0.0347120861076992
"50",3006,1964.26063919973,38.3910136508064,3.02051851327626,-1.60651832718176,1.3585145689372,0.212531254673983,-0.235333759308229,0.0204070599616481,-0.655779452572751,-0.553729453733725,0.346062940100323,-0.673017694916808,0.397672382495989,0.0947226757755903,0.00744718962188819,0.0254387018777485,-0.000677573991602568,-0.0100765978699395,0.911732832114809,-0.103106051986745
"52",821,1964.26063903867,38.3909512836798,3.01926318870488,-1.60628615727168,1.35318819231326,0.177169937107144,-0.288358662645747,-0.0419942922226915,-0.541443275551879,-0.663624177866559,0.280442738165462,-0.637818855343912,0.358022043632259,-0.0903334522820214,0.294437762432584,0.770120645754593,-0.365317218280881,-0.158260616387725,-0.143779889505568,0.0365119845519672
"54",2606,1964.26063897523,38.3909621658123,3.01930034054834,-1.60601503960708,1.35182274258041,0.177122631348267,-0.286809843704528,-0.0401768978952065,-0.53805353147516,-0.673029700525944,0.289602351863737,-0.662586714364487,0.284996017179402,0.296544379901796,-0.778362660362885,-0.062489439691781,-0.358926432181751,-0.156730204976512,-0.143166280201552,0.0369498228435748
"55",4237,1964.25969641396,70.3902117548744,2.98503151123653,-1.83803725865482,1.35802667777833,0.204874514099509,-0.25017915613993,0.0192595007539755,-0.643356253630773,-0.574268293300106,0.312117895508205,-0.649377637546612,0.41299380503396,0.133744987666492,0.0165541357072385,0.0320485906539743,0.160455497816978,0.846433684967842,-0.195305352738277,-0.0200951695799445
"63",2986,1964.26063897949,38.3908691171077,3.01898062019156,-1.61422900743983,1.34418497272815,0.174819256256439,-0.253261913578997,-0.056216839457539,-0.621285891154603,-0.619320537825643,0.297741950241954,-0.676224746557211,0.3917410814176,0.141121051773916,0.0208744820806966,0.0347122413212103,0.748486817058787,-0.431171419896452,-0.195952191680426,0.0244533623023307
"64",793,1964.26063903867,38.3909512836798,3.01926318870488,-1.60628615727168,1.35318819231326,0.177169937107144,-0.288358662645747,-0.0419942922226915,-0.541443275551879,-0.663624177866559,0.280442738165462,-0.637818855343912,0.358022043632259,-0.0903334522820214,0.294437762432584,0.770120645754593,-0.365317218280881,-0.158260616387725,-0.143779889505568,0.0365119845519672
"69",2894,1964.26629623762,-153.603612340118,3.23802691525245,-0.211216914956673,1.36599523709036,0.343932820270534,-0.542271118580514,0.343686300377313,0.0267696711169527,-0.16733683350129,0.856104181296269,-0.0758854183836755,-0.322545121930545,0.0252057986551876,0.026454868079917,0.0211612626635606,0.843018495247283,-0.412173205564561,-0.185506954750606,0.037610955074058
"72",2577,1964.26629623337,-153.603519291413,3.23834663560922,-0.20300294712392,1.37363300694261,0.346236195362361,-0.575819048706046,0.359726241939645,0.110002030796396,-0.221045996201591,0.847964582918053,-0.0622473861909515,-0.429290186168744,0.180629126783067,-0.772782274363665,-0.0760404183494306,-0.264394753993255,-0.137731990644621,-0.132721043271732,0.0501074156153021
"78",2553,1964.26252486175,-25.6069463716169,3.09321194406103,-1.12355396852483,1.37594859603023,0.266484631731318,-0.57435532186511,0.315723190565902,0.10587063737693,-0.230547787302239,0.841304723197749,-0.0701913295203182,-0.438199546087405,0.183639673110249,-0.771267588736962,-0.0742928319354007,-0.262906903945748,-0.145167310935371,-0.131685006145225,0.0557144412495994
"84",2602,1964.26063917595,38.3913400882814,3.02064459828694,-1.58382947922528,1.37710639057404,0.226608849915796,-0.573623458444642,0.29372166487903,0.103804940667198,-0.235298682852563,0.837974793337598,-0.0741633011850016,-0.442654226046736,0.185144946273841,-0.770510245923611,-0.0734190387283858,-0.262162978921995,-0.148884971080746,-0.131166987581971,0.058517954066748
"87",2854,1964.25969633731,70.3903902695259,2.98404120504311,-1.82218120240826,1.37004751799368,0.204367583916207,-0.539709596608877,0.266680960473261,0.0195397326328875,-0.183964967927424,0.844449426785739,-0.0897873192100674,-0.338136501788203,0.0304742547277569,0.0291055679266467,0.0242195388881129,0.84562223283042,-0.425185016073373,-0.183693889779219,0.0474232499340782
