"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
22072,4295,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
22071,2678,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
22070,2769,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
22068,1250,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
22067,2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
22066,4231,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
22065,2787,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
22064,2672,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
22062,1266,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
22061,2639,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
22060,4317,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22059,2762,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22058,2753,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22056,1281,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22055,2814,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22054,4296,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
22053,2867,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
22052,2646,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
22050,1331,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
22049,3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
22048,4220,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22047,3011,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22046,2653,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
