"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
21987,3112,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L",3078.41226162219
20189,1279,"wordcount","ETH","RL1",10,10,1,65536,"ZLIB",32,"Azure L",1277.80763418512
653,522,"dfsioe_read","ETH","SSD",24,10,3,65536,"None",64,"Local 1",839.641787659095
1896,2126,"pagerank","IB","HDD",12,10,1,65536,"ZLIB",256,"Local 1",2203.64620992026
18643,1282,"wordcount","ETH","RL2",8,10,3,65536,"None",64,"Azure L",1296.63486743375
4211,3632,"terasort","ETH","RL3",8,10,2,65536,"Snappy",32,"Azure L",2846.01772281899
881,1010,"terasort","IB","SSD",12,50,3,4096,"None",256,"Local 1",1010.32235051971
11067,2696,"pagerank","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L",2855.75251912835
406,609,"wordcount","ETH","HDD",16,10,3,65536,"ZLIB",64,"Local 1",694.06413142299
21845,2789,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2662.9985863432
22170,1285,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",1292.30602815014
10891,5676,"dfsioe_write","ETH","RL3",8,10,2,65536,"None",64,"Azure L",4534.59546446894
18899,2765,"kmeans","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L",2687.51934268291
4327,2743,"terasort","ETH","RL1",8,10,1,65536,"BZIP2",32,"Azure L",2903.2645333082
361,693,"wordcount","ETH","SSD",12,10,2,65536,"None",64,"Local 1",666.057672044167
123,452,"dfsioe_write","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1",551.544142681727
1593,1194,"bayes","IB","HDD",12,20,1,4096,"None",256,"Local 1",1242.11690310811
20227,2873,"pagerank","ETH","RL1",10,10,1,65536,"BZIP2",64,"Azure L",2738.92796181333
18595,1393,"wordcount","ETH","RL2",10,10,2,65536,"BZIP2",256,"Azure L",1291.73656414126
1621,1100,"bayes","IB","HDD",12,50,1,32768,"None",32,"Local 1",1108.89734978103
18634,2874,"dfsioe_read","ETH","RL2",8,10,3,65536,"None",64,"Azure L",2976.12392543543
18717,2692,"pagerank","ETH","RL2",8,10,3,65536,"BZIP2",256,"Azure L",2769.50367227689
