"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
20185,2826,"pagerank","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L",2738.92796181333
21981,2804,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",3107.6423074781
4351,3125,"terasort","ETH","RL1",8,10,2,65536,"None",32,"Azure L",2899.39864553026
18624,1334,"kmeans","ETH","RL2",10,10,2,65536,"Snappy",256,"Azure L",2346.6884463588
4394,2942,"terasort","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L",2853.53105254192
11041,1250,"wordcount","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L",1309.35380953278
21977,2593,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",2354.56253924748
4381,2948,"terasort","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L",3022.19515191167
20332,2797,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",2662.9985863432
1949,1252,"kmeans","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1",1341.97245784279
1375,664,"wordcount","ETH","SSD",12,50,3,65536,"None",64,"Local 1",671.6098772029
967,1047,"terasort","ETH","SSD",12,10,3,32768,"None",128,"Local 1",1041.80178753004
957,1007,"terasort","ETH","SSD",12,5,3,131072,"None",64,"Local 1",1073.54977598646
1116,978,"terasort","ETH","SSD",12,50,3,131072,"None",64,"Local 1",1044.31716136303
864,1012,"terasort","IB","SSD",12,20,3,4096,"None",128,"Local 1",1013.63495514305
1154,4392,"terasort","IB","HDD",12,10,1,65536,"None",128,"Local 1",4053.07899163917
331,474,"wordcount","IB","SSD",24,10,1,65536,"None",64,"Local 1",448.317643660785
576,577,"dfsioe_read","IB","SSD",12,10,2,65536,"ZLIB",64,"Local 1",948.796108568509
21990,1334,"wordcount","ETH","RL1",8,10,3,65536,"None",32,"Azure L",1298.12307459029
18642,2801,"kmeans","ETH","RL2",8,10,3,65536,"None",64,"Azure L",2814.85025080317
22086,1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",1299.64131224954
18493,2708,"kmeans","ETH","RL2",10,10,1,65536,"Snappy",32,"Azure L",2469.88404548711
913,1119,"terasort","ETH","SSD",12,10,1,4096,"None",256,"Local 1",1055.02961750738
1711,1117,"bayes","ETH","HDD",12,10,3,32768,"None",32,"Local 1",1120.0017600985
1218,4703,"terasort","IB","HDD",12,5,3,131072,"None",128,"Local 1",4555.47667224586
18768,1293,"wordcount","ETH","RL2",10,10,3,65536,"None",128,"Azure L",1292.53505748755
4346,3213,"terasort","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L",3080.92694466707
2160,672,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1",638.817516872624
20309,1338,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L",1289.61663205885
22227,1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L",1367.35875007849
18867,2916,"dfsioe_read","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L",2852.44306205371
20236,2620,"kmeans","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L",2296.18454002508
20110,2618,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L",2552.74241616345
70,689,"terasort","IB","SSD",24,25,1,65536,"None",0,"Local 1",718.640415288128
427,980,"kmeans","IB","SSD",24,10,3,65536,"None",64,"Local 1",889.132546337412
2104,1199,"wordcount","ETH","HDD",12,10,1,65536,"Snappy",256,"Local 1",1092.95357491738
18654,2736,"kmeans","ETH","RL2",8,10,3,65536,"None",256,"Azure L",2659.21573793112
317,1489,"kmeans","ETH","HDD",12,10,1,65536,"None",32,"Local 1",1297.68673039998
10919,2656,"pagerank","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",2757.2924725775
4329,2711,"terasort","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L",2907.24363485158
18604,3032,"dfsioe_read","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L",3140.35528914567
10752,2598,"pagerank","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L",2658.83242602665
1775,3511,"pagerank","ETH","HDD",12,10,3,65536,"None",128,"Local 1",3067.48675328862
4241,2617,"terasort","ETH","RL2",10,10,1,65536,"None",128,"Azure L",2665.89916201899
18430,2557,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L",2526.84371557055
1844,1296,"kmeans","IB","HDD",12,10,1,65536,"None",64,"Local 1",1350.37840160609
4309,2575,"terasort","ETH","RL2",10,10,3,65536,"ZLIB",128,"Azure L",2592.35742701019
11040,2205,"kmeans","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L",2719.66458100975
20205,1273,"dfsioe_write","ETH","RL1",10,10,1,65536,"ZLIB",128,"Azure L",1548.5215470735
14,724,"terasort","ETH","SSD",24,10,2,65536,"None",0,"Local 1",819.489219211658
22175,2606,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2568.57505134193
10970,1284,"wordcount","ETH","RL3",8,10,3,65536,"None",64,"Azure L",1306.75708048913
20116,2704,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",256,"Azure L",2448.98607424876
2050,2123,"pagerank","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1",2022.97205979669
22137,2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",3114.29290256524
21993,2892,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",32,"Azure L",3077.08589444106
20156,3889,"dfsioe_read","ETH","RL1",10,10,1,65536,"None",64,"Azure L",3656.31582975499
22022,2662,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L",2790.57903856792
1928,1412,"kmeans","IB","HDD",12,10,1,65536,"BZIP2",256,"Local 1",1392.46781622369
10666,1270,"wordcount","ETH","RL3",8,10,1,65536,"None",128,"Azure L",1297.80965294046
250,657,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1",660.505466885433
20210,4014,"dfsioe_read","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L",3664.27403284177
385,699,"wordcount","IB","HDD",12,10,3,65536,"None",64,"Local 1",904.148125209919
18433,2886,"pagerank","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L",2718.13361742523
2069,1032,"wordcount","ETH","HDD",12,10,1,65536,"BZIP2",256,"Local 1",1092.95357491738
4116,2157,"terasort","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L",2609.44289458647
1796,1124,"bayes","ETH","HDD",12,20,3,32768,"None",128,"Local 1",1177.09585438153
402,510,"wordcount","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1",520.797505101579
523,5106,"terasort","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1",3849.8432118151
4213,3124,"terasort","ETH","RL3",8,10,2,65536,"Snappy",128,"Azure L",2841.47981471059
152,1215,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",0,"Local 1",1294.59838246915
1982,6616,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",32,"Local 1",5914.445665808
988,1104,"bayes","ETH","SSD",12,10,3,65536,"None",32,"Local 1",1036.78281819592
20092,2778,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",64,"Azure L",2604.6205871208
10862,3331,"dfsioe_write","ETH","RL3",10,10,1,65536,"Snappy",64,"Azure L",2806.65669915449
8,881,"terasort","ETH","SSD",12,10,3,65536,"None",0,"Local 1",982.271790353326
18558,2521,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",128,"Azure L",2533.3435438356
1560,1016,"wordcount","IB","HDD",12,20,1,131072,"None",32,"Local 1",921.055168727936
1976,1324,"dfsioe_write","ETH","HDD",12,10,1,65536,"None",64,"Local 1",1466.97185503588
489,1119,"terasort","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1",1003.53542252491
1117,1059,"terasort","ETH","SSD",12,50,3,4096,"None",32,"Local 1",1045.14531251887
22220,2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",3042.86612680637
10905,1266,"wordcount","ETH","RL3",8,10,2,65536,"None",128,"Azure L",1303.3618580992
18812,2817,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L",2915.05371052693
262,969,"terasort","ETH","SSD",12,10,1,65536,"None",64,"Local 1",1074.04090443244
20263,2839,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",128,"Azure L",2738.92796181333
184,1296,"hivebench_agregation","IB","SSD",12,10,1,65536,"None",256,"Local 1",1013.44821830772
1772,1605,"kmeans","ETH","HDD",12,10,3,65536,"None",128,"Local 1",1675.90531730162
1845,1077,"wordcount","IB","HDD",12,10,1,65536,"None",64,"Local 1",893.043714892452
20285,1290,"wordcount","ETH","RL1",8,10,2,65536,"None",64,"Azure L",1293.64936081596
18714,2724,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",256,"Azure L",2557.86797980488
21878,2869,"pagerank","ETH","RL1",10,10,2,65536,"None",64,"Azure L",2883.83766120868
18694,3050,"dfsioe_read","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L",3001.06939597623
4313,2719,"terasort","ETH","RL2",10,10,3,65536,"BZIP2",128,"Azure L",2627.4910367026
18766,3001,"dfsioe_read","ETH","RL2",10,10,3,65536,"None",64,"Azure L",2962.06372993143
128,3640,"pagerank","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1",2714.09934213392
831,975,"terasort","IB","SSD",12,5,3,131072,"None",64,"Local 1",1035.32364115347
1119,1013,"terasort","ETH","SSD",12,50,3,4096,"None",256,"Local 1",1039.34825442802
4370,3099,"terasort","ETH","RL1",10,10,2,65536,"None",256,"Azure L",3026.94573099872
4164,6855,"terasort","ETH","R1",8,10,3,65536,"ZLIB",64,"Azure L",6431.09006622167
522,5223,"terasort","IB","HDD",16,10,1,65536,"None",64,"Local 1",3849.8432118151
21952,2699,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L",2640.27859802573
52,1046,"kmeans","IB","SSD",24,10,1,4096,"None",0,"Local 1",948.008875713647
4120,2523,"terasort","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L",2891.78706386197
4154,5833,"terasort","ETH","R2",8,10,3,65536,"Snappy",64,"Azure L",5490.56835663615
1201,3820,"terasort","IB","HDD",12,50,1,131072,"None",32,"Local 1",3641.66515939141
18776,2900,"pagerank","ETH","RL2",10,10,3,65536,"None",256,"Azure L",2961.50336337143
1627,1290,"kmeans","IB","HDD",12,50,1,32768,"None",256,"Local 1",1385.56034195439
4254,2546,"terasort","ETH","RL2",10,10,1,65536,"Snappy",256,"Azure L",2694.98222756686
20253,1339,"dfsioe_write","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L",1585.08905857026
2236,1071,"kmeans","IB","SSD",12,10,1,65536,"Snappy",128,"Local 1",994.297099468003
92,2084,"pagerank","ETH","SSD",12,10,1,65536,"None",0,"Local 1",2145.52577093609
22216,2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",2412.94053846989
1020,1172,"kmeans","ETH","SSD",12,20,3,32768,"None",256,"Local 1",1130.28957361535
1085,1120,"kmeans","ETH","SSD",12,20,3,65536,"None",128,"Local 1",1203.92907872018
