ID,Benchmark,Exe.Time,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,Cl.Name,Datanodes,Headnodes,VM.OS,VM.Cores,VM.RAM,Provider,VM.Size,Service.Type,Bench.Type
81143,terasort,618.000,ETH,RR2,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81144,prep_terasort,105.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81145,terasort,607.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81146,prep_terasort,347.000,ETH,HDD,7,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81147,terasort,1076.000,ETH,HDD,7,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81148,prep_terasort,102.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81149,terasort,570.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81150,prep_terasort,352.000,ETH,HDD,7,12,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81151,prep_terasort,107.000,ETH,RR3,4,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81152,terasort,698.000,ETH,RR3,4,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81153,prep_terasort,406.000,ETH,HDD,2,16,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81154,terasort,2044.000,ETH,HDD,2,16,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81155,prep_terasort,102.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81156,terasort,704.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81157,prep_terasort,369.000,ETH,HDD,11,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81158,terasort,1215.000,ETH,HDD,11,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81159,prep_terasort,111.000,ETH,RR3,4,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81160,terasort,654.000,ETH,RR3,4,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81161,prep_terasort,105.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81162,terasort,566.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81163,prep_terasort,210.000,ETH,HD3,14,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81164,prep_terasort,633.000,ETH,RL3,2,12,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81165,terasort,2180.000,ETH,RL3,2,12,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81166,prep_terasort,105.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81167,terasort,544.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81168,prep_terasort,364.000,ETH,HDD,7,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81169,terasort,1030.000,ETH,HDD,7,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81170,prep_terasort,108.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81171,terasort,580.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81172,prep_terasort,108.000,ETH,RR3,4,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
