ID,Benchmark,Exe.Time,Running.Cost,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,End.time
4839,pagerank,2617,0,ETH,HDD,4,10,1,65536,ZLIB,128,al-15,20141231130821
4840,kmeans,1644,1.22,ETH,RL2,8,10,2,65536,ZLIB,256,al-14,20141231124902
4832,kmeans,1455,1.08,ETH,RL2,8,10,2,65536,ZLIB,128,al-14,20141231100011
4831,kmeans,2270,0,ETH,HDD,4,10,1,65536,ZLIB,128,al-15,20141231095400
4828,dfsioe_read,4030,2.98,ETH,RL2,8,10,2,65536,ZLIB,64,al-14,20141231082752
4827,dfsioe_read,4494,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231081618
4826,pagerank,1966,1.45,ETH,RL2,8,10,2,65536,ZLIB,64,al-14,20141231064901
4825,pagerank,2590,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231064024
4820,kmeans,2363,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231042821
4818,dfsioe_read,2932,2.17,ETH,RL2,8,10,2,65536,ZLIB,32,al-14,20141231035236
4815,dfsioe_read,4233,0,ETH,HDD,4,10,1,65536,ZLIB,32,al-15,20141231024524
4817,pagerank,1999,1.48,ETH,RL2,8,10,2,65536,ZLIB,32,al-14,20141231023255
4808,dfsioe_read,6238,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141230220341
4807,pagerank,2562,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141230195815
4802,pagerank,2692,0,ETH,HDD,4,10,1,65536,None,256,al-15,20141230161644
4798,dfsioe_read,4024,0,ETH,HDD,4,10,1,65536,None,128,al-15,20141230130823
4797,pagerank,2618,0,ETH,HDD,4,10,1,65536,None,128,al-15,20141230114059
4794,kmeans,2282,0,ETH,HDD,4,10,1,65536,None,128,al-15,20141230082401
4791,dfsioe_read,4092,0,ETH,HDD,4,10,1,65536,None,64,al-15,20141230063858
4790,pagerank,2577,0,ETH,HDD,4,10,1,65536,None,64,al-15,20141230051008
4788,kmeans,2388,0,ETH,HDD,4,10,1,65536,None,64,al-15,20141230024803
4786,dfsioe_read,4470,0,ETH,HDD,4,10,1,65536,None,32,al-15,20141230010813
4785,pagerank,2579,0,ETH,HDD,4,10,1,65536,None,32,al-15,20141229233223
4782,kmeans,2615,0,ETH,HDD,4,10,1,65536,None,32,al-15,20141229201907
4780,pagerank,2585,0,ETH,HDD,4,10,1,65536,None,64,al-15,20141229183828
4777,kmeans,2583,0,ETH,HDD,4,10,1,65536,None,64,al-15,20141229152952
4776,dfsioe_read,5834,0,ETH,HDD,10,10,1,65536,Snappy,256,al-15,20141229140429
4775,pagerank,2230,0,ETH,HDD,10,10,1,65536,Snappy,256,al-15,20141229120642
4771,kmeans,2312,0,ETH,HDD,10,10,1,65536,Snappy,128,al-15,20141229064017
4765,dfsioe_read,5835,0,ETH,HDD,10,10,1,65536,Snappy,64,al-15,20141229045544
4766,kmeans,1329,0.98,ETH,RL2,8,10,2,65536,ZLIB,64,al-14,20141229035056
4761,dfsioe_read,4545,3.36,ETH,RL2,8,10,2,65536,None,256,al-14,20141229021419
4759,pagerank,1875,1.39,ETH,RL2,8,10,2,65536,None,256,al-14,20141229002909
4758,kmeans,2346,0,ETH,HDD,10,10,1,65536,Snappy,64,al-15,20141229001630
4752,dfsioe_read,5894,0,ETH,HDD,10,10,1,65536,Snappy,32,al-15,20141228222747
4754,kmeans,1597,1.18,ETH,RL2,8,10,2,65536,None,256,al-14,20141228215514
